Company Name,Website,Email Domain,Industry,Sub-Industry,Employee Count,Revenue,Region,HQ Location,Solution Interest,Lead Source,Contact Role/Title,Tech Stack Signals,Annual Board Meetings,Compliance Certifications,Intent Score,Last Marketing Touch,Lead Owner,Parent Company,Account Tier,SFDC Account ID,Status,Employee_Count_Clean,Revenue_Clean,Region_Clean,Last_Marketing_Touch_Clean,Website_Clean,Tech_Stack_Clean,SFDC_Account_ID_Clean,Lead_Owner_Clean,Intent_Score_Clean,Firmographic_Score,Solution_Fit_Score,Intent_Signals_Score,Tech_Compliance_Score,Total_ICP_Score,ICP_Archetype,Priority_Tier
Kronos Group_10,kronosgroup_10.com,kronosgroup_10.io,Manufacturing,Financials,200-500,$20M,FR,"San Francisco, USA",Compliance,Referral,CFO,,>5,PCI DSS,85,2025-08-19,Test User,,C,1523333.0,Won,200-500,$20M,France,2025-08-19,kronosgroup_10.com,,1523333.0,Unassigned,85.0,28,19,20,7,74,Mid_Market_Compliance,High
Cyberdyne Systems_11,cyberdynesystems_11.io,cyberdynesystems_11.com,Non-Profit,Banking,five hundred,USD 250M,FR,"Dublin, IE",Audit,Event,General Counsel,SFDC; Databricks; Salesforce; Netsuite,5,,5,2025-02-09,Test User,—,Enterprise,1509424.0,Lost,"500-1,000",$250M,France,2025-02-09,cyberdynesystems_11.io,"Sfdc, Databricks, Salesforce, Netsuite",1509424.0,Unassigned,5.0,30,15,8,8,61,Board_Governance,High
Cyberdyne Systems_12,cyberdynesystems_12.io,cyberdynesystems_12.co,Energy,Fin Serv,50-200,5000000,EMEA,"Paris, FR",Compliance,Partner,Legal Counsel,Teams | Google Workspace | Workday | Oracle,5,PCI DSS,32,"March 29, 2025",TBD,Cyberdyne Holdings,Tier 2,1359530.0,Lost,50-200,$5M,EMEA,2025-03-29,cyberdynesystems_12.io,"Teams, Google Workspace, Workday, Oracle",1359530.0,Unassigned,32.0,19,22,6,15,62,Mid_Market_Compliance,High
Virtucon_13,virtucon_13.net,virtucon_13.io,Energy,Insurance,five hundred,USD 250M,APAC,"New York, USA",Boards,Purchased,VP Finance,Workday | Google Workspace | Oracle,1,,,03/03/25,,—,SMB,1697253.0,Lost,"500-1,000",$250M,APAC,2025-03-03,virtucon_13.net,"Workday, Google Workspace, Oracle",1697253.0,Unassigned,,37,13,3,8,61,Board_Governance,High
Hooli_14,hooli_14.com,hooli_14.com,Healthcare,Fin Serv,1000+,,FR,"Berlin, DE",Compliance,Purchased,Legal Counsel,Snowflake,,SOX,17,04/03/25,Test User,,Tier 1,1396782.0,Lost,1000+,Unknown,France,2025-04-03,hooli_14.com,Snowflake,1396782.0,Unassigned,17.0,25,22,6,10,63,Mid_Market_Compliance,High
Caprica Systems_15,capricasystems_15.io,capricasystems_15.io,Energy,Industrial,,"20,000,000 USD",EMEA,"Dubai, AE",Audit,Inbound,VP Finance,,>5,GDPR,55,2025-05-19,John Smith,—,Enterprise,1905391.0,Open,Unknown,$20M,EMEA,2025-05-19,capricasystems_15.io,,1905391.0,John Smith,55.0,18,8,9,5,40,Other,Low
Shinra Electric_16,shinraelectric_16.io,shinraelectric_16.com,Legal,Banking,,unknown,UKI,"Toronto, CA",Boards,Referral,Director of Security,Azure AD,3-4,"HIPAA, SOX, ISO27001",95%,"May 20, 2025",Priya Patel,Global Holdings Ltd,Tier 2,1156331.0,Open,Unknown,Unknown,UK & Ireland,2025-05-20,shinraelectric_16.io,Azure Ad,1156331.0,Priya Patel,,10,17,6,10,43,Board_Governance,Medium
Monarch Solutions_17,https://www.monarchsolutions_17.com,monarchsolutions_17.net,Energy,NGO,50-200,$100M,EMEA,"San Francisco, USA",Boards,Web,CFO,"ServiceNow, Snowflake, Databricks",unknown,SOX,100,2025-03-27,—,Global Holdings Ltd,MM,1100024.0,Open,50-200,$100M,EMEA,2025-03-27,monarchsolutions_17.com,"Servicenow, Snowflake, Databricks",1100024.0,—,100.0,27,17,14,15,73,Board_Governance,High
Omni Consumer Products_18,omniconsumerproducts_18.net,omniconsumerproducts_18.com,Government,Pharma,500 to 1000,$20M,DACH,"London, UK",Compliance,Referral,Head of Compliance,"Databricks, SFDC, Okta",>5,,,12/31/24,TBD,—,,1556664.0,Won,500-1000,$20M,DACH,2024-12-31,omniconsumerproducts_18.net,"Databricks, Sfdc, Okta",1556664.0,Unassigned,,27,15,6,8,56,Mid_Market_Compliance,Medium
Oscorp_19,oscorp_19.io,oscorp_19.io,Financial Services,Insurance,"500-1,000",,FR,,Compliance,Purchased,Board Secretary,Teams,8,PCI DSS,5,01/18/25,Chen Wu,—,SMB,1224397.0,Lost,"500-1,000",Unknown,France,2025-01-18,oscorp_19.io,Teams,1224397.0,Chen Wu,5.0,22,22,6,10,60,Mid_Market_Compliance,Medium
Future Gadget Lab_20,futuregadgetlab_20.net,futuregadgetlab_20.net,Education,Utilities,,unknown,AMS,"Dubai, AE",Boards,Event,Board Secretary,,8,PCI DSS,55,2025-07-02,,—,Tier 1,1316688.0,Open,Unknown,Unknown,Americas,2025-07-02,futuregadgetlab_20.net,,1316688.0,Unassigned,55.0,3,20,13,7,43,Board_Governance,Medium
Atlantic Holdings_21,atlanticholdings_21.io,atlanticholdings_21.com,Manufacturing,Semiconductors,,unknown,EMEA,"Dubai, AE",Audit,Referral,General Counsel,ServiceNow; Slack; Marketo; Azure AD,,,low,2025-04-28,Priya Patel,Private Equity HoldCo,,1761942.0,Won,Unknown,Unknown,EMEA,2025-04-28,atlanticholdings_21.io,"Servicenow, Slack, Marketo, Azure Ad",1761942.0,Priya Patel,,10,15,6,8,39,Other,Low
Nakatomi Trading_22,nakatomitrading_22.com,nakatomitrading_22.io,Financial Services,Pharma,1000+,€20M,,Unknown,Audit,Purchased,Head of Compliance,"Databricks, Slack, O365, Workday",unknown,"ISO27001, None",48,"February 04, 2025",,,Tier 3,1907977.0,Lost,1000+,$20M,Unknown,2025-02-04,nakatomitrading_22.com,"Databricks, Slack, O365, Workday",1907977.0,Unassigned,48.0,33,8,9,15,65,Enterprise_Risk_Management,High
Massive Dynamic_23,massivedynamic_23.io,massivedynamic_23.com,Manufacturing,Insurance,200-500,$20M,Unknown,"Toronto, CA",Risk,Inbound,Board Secretary,"Azure AD, Teams",five,,low,04/09/25,Alex Lee,,Tier 1,,Open,200-500,$20M,Unknown,2025-04-09,massivedynamic_23.io,"Azure Ad, Teams",Missing,Alex Lee,,28,25,3,3,59,Enterprise_Risk_Management,Medium
Paper Street Co_24,paperstreetco_24.io,paperstreetco_24.co,Manufacturing,K-12,five hundred,,FR,"Toronto, CA",Audit,Inbound,Director of Security,Eloqua; O365; Workday; Okta,five,,,07/28/25,Alex Lee,—,Tier 2,1711158.0,Open,"500-1,000",Unknown,France,2025-07-28,paperstreetco_24.io,"Eloqua, O365, Workday, Okta",1711158.0,Alex Lee,,22,12,5,8,47,Enterprise_Risk_Management,Medium
Massive Dynamic_25,massivedynamic_25.co,massivedynamic_25.net,Non-Profit,Higher Ed,"500-1,000",USD 250M,DACH,"Dubai, AE",Audit,Referral,General Counsel,,8,,5,"March 29, 2025",John Smith,,Tier 2,,Open,"500-1,000",$250M,DACH,2025-03-29,massivedynamic_25.co,,Missing,John Smith,5.0,30,15,9,0,54,Board_Governance,Medium
Umbrella Group_26,https://www.umbrellagroup_26.net,umbrellagroup_26.co,Government,Industrial,1000+,$5M,Unknown,"Austin, USA",Audit,Web,General Counsel,"Marketo, ",6,,100,"June 13, 2025",John Smith,,Tier 3,1363850.0,Open,1000+,$5M,Unknown,2025-06-13,umbrellagroup_26.net,Marketo,1363850.0,John Smith,100.0,26,15,16,5,62,Board_Governance,High
Oceanic Airlines_27,oceanicairlines_27.co,oceanicairlines_27.com,Manufacturing,Banking,1000+,$20M,UKI,"London, UK",Compliance,Inbound,Chief Risk Officer,Workday; Databricks,five,"ISO27001, SOX",high,"July 01, 2025",John Smith,,B,1681776.0,Won,1000+,$20M,UK & Ireland,2025-07-01,oceanicairlines_27.co,"Workday, Databricks",1681776.0,John Smith,,33,22,5,15,75,Enterprise_Risk_Management,High
Caprica Systems_28,capricasystems_28.net,capricasystems_28.net,Manufacturing,NGO,,"20,000,000 USD",Unknown,"Mumbai, IN",Boards,Partner,General Counsel,Workday,>5,ISO27001,5,2025-07-27,Alex Lee,,A,1655241.0,Lost,Unknown,$20M,Unknown,2025-07-27,capricasystems_28.net,Workday,1655241.0,Alex Lee,5.0,18,20,8,15,61,Board_Governance,High
Tyrell Corp_29,tyrellcorp_29.co,tyrellcorp_29.io,Technology,NGO,1000+,5000000,EMEA,"London, UK",Boards,Partner,Chief Risk Officer,Oracle,5,"PCI DSS, SOX",low,"May 11, 2025",Priya Patel,,Tier 3,1960650.0,Lost,1000+,$5M,EMEA,2025-05-11,tyrellcorp_29.co,Oracle,1960650.0,Priya Patel,,26,20,3,10,59,Board_Governance,Medium
Black Mesa_30,blackmesa_30.com,blackmesa_30.net,Legal,SaaS,,$1B,EMEA,,Compliance,Partner,Chief Risk Officer,Marketo; Azure AD; Databricks,>5,,92,"May 31, 2025",Chen Wu,,Tier 1,1514593.0,Lost,Unknown,$1000M,EMEA,2025-05-31,blackmesa_30.com,"Marketo, Azure Ad, Databricks",1514593.0,Chen Wu,92.0,25,22,13,5,65,Mid_Market_Compliance,High
Globex Inc_31,globexinc_31.io,globexinc_31.com,Technology,Higher Ed,"500-1,000",,,"London, UK",Compliance,Web,Director of Security,"Salesforce, Pardot, Workday",6,"GDPR, ISO27001",73,06/19/25,Chen Wu,,Tier 2,1598968.0,Lost,"500-1,000",Unknown,Unknown,2025-06-19,globexinc_31.io,"Salesforce, Pardot, Workday",1598968.0,Chen Wu,73.0,19,19,14,15,67,Mid_Market_Compliance,High
Wonka Industries_32,wonkaindustries_32.io,wonkaindustries_32.com,Manufacturing,Fin Serv,500 to 1000,$5M,EMEA,"San Francisco, USA",Audit,Event,General Counsel,Oracle; Snowflake,8,PCI DSS,low,"April 02, 2025",,,,1986846.0,Lost,500-1000,$5M,EMEA,2025-04-02,wonkaindustries_32.io,"Oracle, Snowflake",1986846.0,Unassigned,,26,15,5,10,56,Other,Medium
Paper Street Co_33,paperstreetco_33.com,paperstreetco_33.io,Retail,Financials,1000+,"20,000,000 USD",DACH,"Mumbai, IN",Boards,Referral,Audit Manager,Salesforce | SAP | Eloqua | SFDC,2,,medium,03/10/25,,—,Enterprise,1546669.0,Lost,1000+,$20M,DACH,2025-03-10,paperstreetco_33.com,"Salesforce, Sap, Eloqua, Sfdc",1546669.0,Unassigned,,26,13,6,8,53,Board_Governance,Medium
Initech_34,initech_34.net,initech_34.com,Retail,Pharma,500 to 1000,5000000,,"Munich, DE",Compliance,Inbound,CFO,"Workday, ServiceNow",2,ISO27001,55,07/09/25,Chen Wu,Global Holdings Ltd,C,1394262.0,Open,500-1000,$5M,Unknown,2025-07-09,initech_34.net,"Workday, Servicenow",1394262.0,Chen Wu,55.0,19,19,11,15,64,Other,High
Caprica Systems_35,https://www.http://capricasystems_35.com,capricasystems_35.co,Financial Services,NGO,"500-1,000",$1B,DACH,,Risk,Partner,Head of Compliance,"Slack, HubSpot, Salesforce",4,,48,2025-02-16,—,—,Tier 3,,Open,"500-1,000",$1000M,DACH,2025-02-16,http://capricasystems_35.com,"Slack, Hubspot, Salesforce",Missing,—,48.0,37,18,9,8,72,Enterprise_Risk_Management,High
Prestige Worldwide_36,prestigeworldwide_36.net,prestigeworldwide_36.io,Legal,Biotech,,€20M,Unknown,"Berlin, DE",Risk,Purchased,General Counsel,,,PCI DSS,100,02/16/25,,Global Holdings Ltd,SMB,1666810.0,Open,Unknown,$20M,Unknown,2025-02-16,prestigeworldwide_36.net,,1666810.0,Unassigned,100.0,18,25,13,7,63,Mid_Market_Compliance,High
Nakatomi Trading_37,nakatomitrading_37.io,nakatomitrading_37.net,Retail,Pharma,,,APAC,"San Francisco, USA",Audit,Purchased,Board Secretary,Netsuite; Snowflake; Google Workspace; HubSpot,2,GDPR,,05/30/25,—,Global Holdings Ltd,Tier 1,1527502.0,Open,Unknown,Unknown,APAC,2025-05-30,nakatomitrading_37.io,"Netsuite, Snowflake, Google Workspace, Hubspot",1527502.0,—,,3,15,3,10,31,Other,Low
Luthor Enterprises_38,luthorenterprises_38.co,luthorenterprises_38.com,Technology,Insurance,500 to 1000,5000000,,"Dublin, IE",Boards,Inbound,General Counsel,Slack | HubSpot | Workday,>5,"SOX, GDPR",,"May 24, 2025",TBD,Luthor Holdings,Tier 1,1795302.0,Lost,500-1000,$5M,Unknown,2025-05-24,luthorenterprises_38.co,"Slack, Hubspot, Workday",1795302.0,Unassigned,,23,20,3,15,61,Board_Governance,High
Virtucon_39,https://www.virtucon_39.com,virtucon_39.net,Manufacturing,Pharma,approx 800,$5M,EMEA,Unknown,Boards,Purchased,CFO,"Pardot, O365, Google Workspace",>5,,17,2025-07-17,Priya Patel,—,SMB,1367032.0,Won,"500-1,000",$5M,EMEA,2025-07-17,virtucon_39.com,"Pardot, O365, Google Workspace",1367032.0,Priya Patel,17.0,26,17,8,5,56,Board_Governance,Medium
Massive Dynamic_40,massivedynamic_40.com,massivedynamic_40.com,Manufacturing,Semiconductors,"500-1,000",USD 250M,DACH,,Audit,Partner,Head of Compliance,,6,,92,"January 22, 2025",—,Private Equity HoldCo,B,1163422.0,Won,"500-1,000",$250M,DACH,2025-01-22,massivedynamic_40.com,,1163422.0,—,92.0,37,8,13,0,58,Enterprise_Risk_Management,Medium
Genco Pura_41,gencopura_41.io,gencopura_41.co,Education,Industrial,,5000000,UKI,"Berlin, DE",Audit,Web,Board Secretary,"Teams, Okta, ServiceNow",2,,73,2025-06-12,Chen Wu,,A,1218771.0,Won,Unknown,$5M,UK & Ireland,2025-06-12,gencopura_41.io,"Teams, Okta, Servicenow",1218771.0,Chen Wu,73.0,7,15,14,8,44,Other,Medium
Gringotts Bank_42,gringottsbank_42.co,gringottsbank_42.com,Government,Biotech,approx 800,unknown,Unknown,"Sydney, AU",Boards,Purchased,Chief Risk Officer,,0,"HIPAA, None, PCI DSS",48,2025-04-02,Priya Patel,Gringotts Holdings,SMB,1568610.0,Won,"500-1,000",Unknown,Unknown,2025-04-02,gringottsbank_42.co,,1568610.0,Priya Patel,48.0,19,20,9,7,55,Board_Governance,Medium
Luthor Enterprises_43,luthorenterprises_43.com,luthorenterprises_43.net,Energy,Banking,,5000000,Unknown,"Berlin, DE",Compliance,Web,Board Secretary,"Teams, HubSpot, ServiceNow",5,"GDPR, PCI DSS",,2025-05-10,Alex Lee,Luthor Holdings,Tier 1,1440256.0,Open,Unknown,$5M,Unknown,2025-05-10,luthorenterprises_43.com,"Teams, Hubspot, Servicenow",1440256.0,Alex Lee,,14,22,4,15,55,Enterprise_Risk_Management,Medium
Umbrella Group_44,umbrellagroup_44.net,umbrellagroup_44.io,Legal,Law Firm,500 to 1000,USD 250M,AMS,"Austin, USA",Compliance,Event,Chief Risk Officer,,3,HIPAA,92,"June 04, 2025",Test User,—,Tier 2,1800690.0,Lost,500-1000,$250M,Americas,2025-06-04,umbrellagroup_44.net,,1800690.0,Unassigned,92.0,37,22,15,5,79,Mid_Market_Compliance,High
Pied Piper_45,piedpiper_45.com,piedpiper_45.net,Non-Profit,Fin Serv,"500-1,000",USD 250M,AMS,"London, UK",Audit,Inbound,CIO,Netsuite | Salesforce | Oracle | Snowflake,3,,85,2025-08-05,Test User,,Tier 1,1718998.0,Open,"500-1,000",$250M,Americas,2025-08-05,piedpiper_45.com,"Netsuite, Salesforce, Oracle, Snowflake",1718998.0,Unassigned,85.0,30,8,15,8,61,Board_Governance,High
Paper Street Co_46,paperstreetco_46.com,paperstreetco_46.net,Healthcare,Higher Ed,approx 800,,,"Berlin, DE",Risk,Web,Chief Risk Officer,ServiceNow; Snowflake,3,"PCI DSS, GDPR, None",85,2025-04-29,TBD,,A,1422468.0,Lost,"500-1,000",Unknown,Unknown,2025-04-29,paperstreetco_46.com,"Servicenow, Snowflake",1422468.0,Unassigned,85.0,22,25,14,15,76,Enterprise_Risk_Management,High
Black Mesa_47,blackmesa_47.io,blackmesa_47.com,Technology,Industrial,200-500,,EMEA,Unknown,Audit,Partner,Head of Compliance,O365,5,,55,03/28/25,,,Tier 1,1593730.0,Won,200-500,Unknown,EMEA,2025-03-28,blackmesa_47.io,O365,1593730.0,Unassigned,55.0,17,8,9,3,37,Mid_Market_Compliance,Low
Oceanic Airlines_48,oceanicairlines_48.net,oceanicairlines_48.co,Financial Services,K-12,1000+,USD 250M,APAC,Unknown,Compliance,Inbound,Chief Risk Officer,,5,,,02/21/25,Alex Lee,Oceanic Holdings,A,1440564.0,Lost,1000+,$250M,APAC,2025-02-21,oceanicairlines_48.net,,1440564.0,Alex Lee,,40,22,3,0,65,Enterprise_Risk_Management,High
Aperture Labs_49,aperturelabs_49.co,aperturelabs_49.net,Government,Semiconductors,1000+,"20,000,000 USD",DACH,"Paris, FR",Audit,Web,VP Finance,Okta,3-4,"GDPR, ISO27001, SOX",85,04/30/25,—,Aperture Holdings,SMB,1522936.0,Lost,1000+,$20M,DACH,2025-04-30,aperturelabs_49.co,Okta,1522936.0,—,85.0,30,8,14,15,67,Board_Governance,High
Virtucon_50,virtucon_50.co,virtucon_50.io,Technology,NGO,,$100M,APAC,"Berlin, DE",Risk,Purchased,Director of Security,"Databricks, Slack, O365, Salesforce",,"ISO27001, HIPAA",100,"May 18, 2025",John Smith,Global Holdings Ltd,B,1355706.0,Won,Unknown,$100M,APAC,2025-05-18,virtucon_50.co,"Databricks, Slack, O365, Salesforce",1355706.0,John Smith,100.0,19,22,13,15,69,Enterprise_Risk_Management,High
Encom Corp_51,http://encomcorp_51.co,encomcorp_51.co,Education,Pharma,five hundred,$20M,DACH,"Mumbai, IN",Boards,Inbound,CFO,Oracle,0,"SOX, HIPAA",17,"March 17, 2025",TBD,Private Equity HoldCo,MM,1420217.0,Open,"500-1,000",$20M,DACH,2025-03-17,encomcorp_51.co,Oracle,1420217.0,Unassigned,17.0,23,17,6,10,56,Board_Governance,Medium
Gringotts Bank_52,gringottsbank_52.io,gringottsbank_52.net,Manufacturing,Biotech,,$20M,MDO,"Austin, USA",Risk,Event,General Counsel,Databricks; Workday; Okta,5,"ISO27001, SOX",low,2025-06-19,,,SMB,1877976.0,Won,Unknown,$20M,MEA,2025-06-19,gringottsbank_52.io,"Databricks, Workday, Okta",1877976.0,Unassigned,,18,25,7,15,65,Enterprise_Risk_Management,High
Tricell Pharma_53,tricellpharma_53.co,tricellpharma_53.net,Non-Profit,Financials,1000+,$100M,FR,"Mumbai, IN",Risk,Web,CIO,SAP; Okta; Databricks,4,,32,2025-05-31,Alex Lee,Global Holdings Ltd,Tier 3,1364960.0,Lost,1000+,$100M,France,2025-05-31,tricellpharma_53.co,"Sap, Okta, Databricks",1364960.0,Alex Lee,32.0,30,18,7,8,63,Enterprise_Risk_Management,High
Shinra Electric_54,shinraelectric_54.net,shinraelectric_54.com,Technology,NGO,,,UKI,"Mumbai, IN",Boards,Web,General Counsel,Teams; SAP,6,GDPR,55,2025-08-11,Priya Patel,Shinra Holdings,MM,1775830.0,Open,Unknown,Unknown,UK & Ireland,2025-08-11,shinraelectric_54.net,"Teams, Sap",1775830.0,Priya Patel,55.0,7,20,14,8,49,Board_Governance,Medium
Oscorp_55,oscorp_55.co,oscorp_55.net,Legal,Semiconductors,,USD 250M,MDO,"Dubai, AE",Risk,Event,General Counsel,SFDC | ServiceNow,3,SOX,92,"June 27, 2025",—,—,B,1360419.0,Lost,Unknown,$250M,MEA,2025-06-27,oscorp_55.co,"Sfdc, Servicenow",1360419.0,—,92.0,25,25,17,15,82,Board_Governance,Critical
Dunder Mifflin_56,dundermifflin_56.co,dundermifflin_56.net,Technology,Biotech,five hundred,USD 250M,DACH,,Compliance,Inbound,CIO,Azure AD | Workday,4,,,2025-08-07,Jane Doe,Dunder Holdings,,1231914.0,Won,"500-1,000",$250M,DACH,2025-08-07,dundermifflin_56.co,"Azure Ad, Workday",1231914.0,Jane Doe,,34,15,5,8,62,Mid_Market_Compliance,High
Oscorp_57,oscorp_57.io,oscorp_57.net,Non-Profit,Insurance,500 to 1000,unknown,AMS,"San Francisco, USA",Audit,Purchased,Audit Manager,Workday | Netsuite | Slack | ServiceNow,five,"GDPR, PCI DSS, SOX",100,"January 27, 2025",Priya Patel,Private Equity HoldCo,Tier 2,1417160.0,Open,500-1000,Unknown,Americas,2025-01-27,oscorp_57.io,"Workday, Netsuite, Slack, Servicenow",1417160.0,Priya Patel,100.0,15,8,13,15,51,Other,Medium
Wonka Industries_58,wonkaindustries_58.co,wonkaindustries_58.co,Legal,Insurance,"500-1,000",,FR,NY,Boards,Inbound,Audit Manager,,0,PCI DSS,medium,01/10/25,,,Tier 3,1553633.0,Lost,"500-1,000",Unknown,France,2025-01-10,wonkaindustries_58.co,,1553633.0,Unassigned,,22,13,3,7,45,Board_Governance,Medium
Caprica Systems_59,capricasystems_59.co,capricasystems_59.io,Education,Higher Ed,"500-1,000",$20M,,NY,Boards,Inbound,CIO,Marketo | Salesforce | Eloqua,3-4,,48,2025-06-17,,,A,1186009.0,Won,"500-1,000",$20M,Unknown,2025-06-17,capricasystems_59.co,"Marketo, Salesforce, Eloqua",1186009.0,Unassigned,48.0,23,13,11,8,55,Board_Governance,Medium
Wonka Tech_60,wonkatech_60.com,wonkatech_60.io,Retail,Utilities,five hundred,$100M,,,Compliance,Web,IT Director,SAP; Okta; Workday,,SOX,32,"August 14, 2025",Jane Doe,—,SMB,1307858.0,Lost,"500-1,000",$100M,Unknown,2025-08-14,wonkatech_60.com,"Sap, Okta, Workday",1307858.0,Jane Doe,32.0,27,19,11,15,72,Mid_Market_Compliance,High
Vehement Capital_61,https://www.vehementcapital_61.io,vehementcapital_61.net,Healthcare,SaaS,1000+,USD 250M,EMEA,"Toronto, CA",Risk,Purchased,Audit Manager,"Databricks, HubSpot, Slack",>5,,73,2025-01-01,Test User,Global Holdings Ltd,,1268144.0,Won,1000+,$250M,EMEA,2025-01-01,vehementcapital_61.io,"Databricks, Hubspot, Slack",1268144.0,Unassigned,73.0,40,18,11,5,74,Enterprise_Risk_Management,High
Goodman Group_62,goodmangroup_62.co,goodmangroup_62.io,Non-Profit,Insurance,,$20M,FR,"Berlin, DE",Risk,Partner,VP Finance,,3,"GDPR, None, ISO27001",85,01/26/25,,Goodman Holdings,Tier 1,1885495.0,Lost,Unknown,$20M,France,2025-01-26,goodmangroup_62.co,,1885495.0,Unassigned,85.0,11,18,13,7,49,Other,Medium
Initech_63,initech_63.com,initech_63.io,Legal,Higher Ed,500 to 1000,$20M,FR,"Dublin, IE",Compliance,Referral,CIO,,3-4,,medium,08/08/25,Priya Patel,,C,1517491.0,Lost,500-1000,$20M,France,2025-08-08,initech_63.com,,1517491.0,Priya Patel,,30,15,8,0,53,Mid_Market_Compliance,Medium
