Company Name,Website,Email Domain,Industry,Sub-Industry,Employee Count,Revenue,Region,HQ Location,Solution Interest,Lead Source,Contact Role/Title,Tech Stack Signals,Annual Board Meetings,Compliance Certifications,Intent Score,Last Marketing Touch,Lead Owner,Parent Company,Account Tier,SFDC Account ID,Status,Employee_Count_Clean,Revenue_Clean,Region_Clean,Last_Marketing_Touch_Clean,Website_Clean,Tech_Stack_Clean,SFDC_Account_ID_Clean,Lead_Owner_Clean,Intent_Score_Clean,Firmographic_Score,Solution_Fit_Score,Intent_Signals_Score,Tech_Compliance_Score,Total_ICP_Score,ICP_Archetype,Priority_Tier
LexCorp_272,lexcorp_272.net,lexcorp_272.co,Education,Fin Serv,"500-1,000",USD 250M,DACH,"Munich, DE",Risk,Web,General Counsel,Teams | Marketo |  | Salesforce,5,ISO27001,92,2024-12-30,,LexCorp_272 Holdings,A,1514063.0,Lost,"500-1,000",$250M,DACH,2024-12-30,lexcorp_272.net,"Teams, Marketo, Salesforce",1514063.0,Unassigned,92.0,30,25,14,15,84,Enterprise_Risk_Management,Critical
Massive Dynamic_356,massivedynamic_356.net,massivedynamic_356.io,Energy,Semiconductors,1000+,$1B,,NY,Boards,Referral,Legal Counsel,,>5,ISO27001,92,02/06/25,Test User,,Tier 1,1666509.0,Won,1000+,$1000M,Unknown,2025-02-06,massivedynamic_356.net,,1666509.0,Unassigned,92.0,40,20,16,7,83,Board_Governance,Critical
Oscorp_55,oscorp_55.co,oscorp_55.net,Legal,Semiconductors,,USD 250M,MDO,"Dubai, AE",Risk,Event,General Counsel,SFDC | ServiceNow,3,SOX,92,"June 27, 2025",—,—,B,1360419.0,Lost,Unknown,$250M,MEA,2025-06-27,oscorp_55.co,"Sfdc, Servicenow",1360419.0,—,92.0,25,25,17,15,82,Board_Governance,Critical
Clampett Oil_899,clampettoil_899.com,clampettoil_899.co,Government,Banking,200-500,USD 250M,AMS,"Sydney, AU",Compliance,Referral,IT Director,Workday,4,"HIPAA, PCI DSS",92,"April 23, 2025",Priya Patel,,SMB,1716276.0,Open,200-500,$250M,Americas,2025-04-23,clampettoil_899.com,Workday,1716276.0,Priya Patel,92.0,32,19,16,15,82,Board_Governance,Critical
Black Mesa_271,blackmesa_271.co,blackmesa_271.io,Financial Services,Utilities,200-500,USD 250M,FR,"Mumbai, IN",Compliance,Web,Chief Risk Officer,"Eloqua, SFDC, HubSpot",0,"SOX, HIPAA",61,"February 13, 2025",TBD,,SMB,1124864.0,Won,200-500,$250M,France,2025-02-13,blackmesa_271.co,"Eloqua, Sfdc, Hubspot",1124864.0,Unassigned,61.0,35,22,12,12,81,Mid_Market_Compliance,Critical
Hyperion Corp_574,hyperioncorp_574.net,hyperioncorp_574.io,Healthcare,Law Firm,1000+,$1B,UKI,"Munich, DE",Risk,Inbound,General Counsel, | Databricks,five,PCI DSS,17,"April 29, 2025",Alex Lee,Hyperion Holdings,SMB,1781791.0,Lost,1000+,$1000M,UK & Ireland,2025-04-29,hyperioncorp_574.net,Databricks,1781791.0,Alex Lee,17.0,40,25,6,10,81,Enterprise_Risk_Management,Critical
Tyrell Corp_943,tyrellcorp_943.net,tyrellcorp_943.io,Energy,Insurance,200-500,$20M,AMS,NY,Risk,Referral,CFO,Workday; SFDC,3,ISO27001,85,"February 18, 2025",Chen Wu,,C,1100221.0,Won,200-500,$20M,Americas,2025-02-18,tyrellcorp_943.net,"Workday, Sfdc",1100221.0,Chen Wu,85.0,28,22,16,15,81,Enterprise_Risk_Management,Critical
LexCorp_0,lexcorp_0.net,lexcorp_0.com,Financial Services,Higher Ed,approx 800,€20M,EMEA,"San Francisco, USA",Risk,Web,Board Secretary,"Salesforce, Workday",,"PCI DSS, GDPR",48,2025-03-04,TBD,,SMB,1186826.0,Won,"500-1,000",$20M,EMEA,2025-03-04,lexcorp_0.net,"Salesforce, Workday",1186826.0,Unassigned,48.0,30,25,10,15,80,Enterprise_Risk_Management,High
Stark Industries_66,starkindustries_66.com,starkindustries_66.co,Energy,Insurance,50-200,USD 250M,,"Munich, DE",Compliance,Inbound,General Counsel,Okta | Azure AD,4,ISO27001,100,"January 26, 2025",Priya Patel,Stark Holdings,Tier 2,1719817.0,Lost,50-200,$250M,Unknown,2025-01-26,starkindustries_66.com,"Okta, Azure Ad",1719817.0,Priya Patel,100.0,30,22,13,15,80,Mid_Market_Compliance,High
Wonka Tech_104,wonkatech_104.co,wonkatech_104.net,Healthcare,Higher Ed,200-500,USD 250M,MDO,"Toronto, CA",Risk,Web,Head of Compliance,Oracle; ServiceNow; Google Workspace,8,ISO27001,55,"July 16, 2025",Chen Wu,Private Equity HoldCo,Tier 3,1678260.0,Won,200-500,$250M,MEA,2025-07-16,wonkatech_104.co,"Oracle, Servicenow, Google Workspace",1678260.0,Chen Wu,55.0,35,18,12,15,80,Enterprise_Risk_Management,High
Gringotts Bank_164,gringottsbank_164.net,gringottsbank_164.com,Legal,Biotech,500 to 1000,USD 250M,EMEA,"London, UK",Risk,Purchased,General Counsel,"Workday, Oracle, Snowflake",5,"ISO27001, GDPR",medium,2025-02-12,Priya Patel,,Tier 3,,Open,500-1000,$250M,EMEA,2025-02-12,gringottsbank_164.net,"Workday, Oracle, Snowflake",Missing,Priya Patel,,37,25,3,15,80,Board_Governance,High
Virtucon_180,virtucon_180.io,virtucon_180.com,Energy,Law Firm,1000+,$1B,,Unknown,Compliance,Partner,CFO,Okta | ,6,SOX,17,06/14/25,John Smith,Private Equity HoldCo,Enterprise,1997698.0,Won,1000+,$1000M,Unknown,2025-06-14,virtucon_180.io,Okta,1997698.0,John Smith,17.0,40,19,6,15,80,Enterprise_Risk_Management,High
Cyberdyne Systems_385,cyberdynesystems_385.co,cyberdynesystems_385.io,Manufacturing,SaaS,500 to 1000,$1B,UKI,NY,Audit,Referral,General Counsel,HubSpot; Okta,2,,92,2025-08-21,Test User,—,SMB,1335297.0,Lost,500-1000,$1000M,UK & Ireland,2025-08-21,cyberdynesystems_385.co,"Hubspot, Okta",1335297.0,Unassigned,92.0,37,15,20,8,80,Enterprise_Risk_Management,High
Caprica Systems_491,capricasystems_491.io,capricasystems_491.com,Government,Banking,"500-1,000",USD 250M,Unknown,"Dubai, AE",Compliance,Referral,Director of Security,Oracle | Workday | ServiceNow,2,HIPAA,61,"February 02, 2025",,,SMB,1185832.0,Won,"500-1,000",$250M,Unknown,2025-02-02,capricasystems_491.io,"Oracle, Workday, Servicenow",1185832.0,Unassigned,61.0,34,19,14,13,80,Board_Governance,High
Black Mesa_605,blackmesa_605.co,blackmesa_605.net,Technology,Biotech,"500-1,000",$20M,AMS,,Compliance,Referral,General Counsel,Snowflake | Marketo | ServiceNow | ,4,ISO27001,85,06/12/25,TBD,Black Holdings,,1648991.0,Won,"500-1,000",$20M,Americas,2025-06-12,blackmesa_605.co,"Snowflake, Marketo, Servicenow",1648991.0,Unassigned,85.0,27,22,16,15,80,Mid_Market_Compliance,High
Blue Sun Corp_607,bluesuncorp_607.net,bluesuncorp_607.net,Manufacturing,Fin Serv,200-500,"20,000,000 USD",,"Toronto, CA",Risk,Referral,Chief Risk Officer,Pardot; Salesforce; ServiceNow; Workday,3,"HIPAA, GDPR",61,"February 01, 2025",Test User,—,C,1240543.0,Won,200-500,$20M,Unknown,2025-02-01,bluesuncorp_607.net,"Pardot, Salesforce, Servicenow, Workday",1240543.0,Unassigned,61.0,28,25,14,13,80,Enterprise_Risk_Management,High
Zorg Industries_689,zorgindustries_689.net,zorgindustries_689.co,Financial Services,K-12,five hundred,$100M,FR,"Toronto, CA",Compliance,Referral,Legal Counsel,Salesforce | ServiceNow | Teams,1,,92,2025-02-19,,Zorg Holdings,C,1185539.0,Open,"500-1,000",$100M,France,2025-02-19,zorgindustries_689.net,"Salesforce, Servicenow, Teams",1185539.0,Unassigned,92.0,34,22,16,8,80,Mid_Market_Compliance,High
Umbrella Group_44,umbrellagroup_44.net,umbrellagroup_44.io,Legal,Law Firm,500 to 1000,USD 250M,AMS,"Austin, USA",Compliance,Event,Chief Risk Officer,,3,HIPAA,92,"June 04, 2025",Test User,—,Tier 2,1800690.0,Lost,500-1000,$250M,Americas,2025-06-04,umbrellagroup_44.net,,1800690.0,Unassigned,92.0,37,22,15,5,79,Mid_Market_Compliance,High
Blue Sun Corp_68,bluesuncorp_68.com,bluesuncorp_68.net,Technology,Utilities,1000+,"20,000,000 USD",MDO,"Dubai, AE",Boards,Web,Chief Risk Officer,O365 | ServiceNow |  | Okta,1,"HIPAA, PCI DSS",61,07/17/25,TBD,Private Equity HoldCo,,1655315.0,Lost,1000+,$20M,MEA,2025-07-17,bluesuncorp_68.com,"O365, Servicenow, Okta",1655315.0,Unassigned,61.0,30,20,14,15,79,Board_Governance,High
Genco Pura_364,http://gencopura_364.com,gencopura_364.co,Healthcare,K-12,1000+,$100M,FR,"Berlin, DE",Boards,Web,Chief Risk Officer,Salesforce; SAP; SFDC; ,0,,92,2025-05-20,Priya Patel,—,C,1868822.0,Lost,1000+,$100M,France,2025-05-20,gencopura_364.com,"Salesforce, Sap, Sfdc",1868822.0,Priya Patel,92.0,37,20,14,8,79,Enterprise_Risk_Management,High
Hyperion Corp_462,hyperioncorp_462.io,hyperioncorp_462.com,Non-Profit,Insurance,500 to 1000,$100M,DACH,NY,Risk,Purchased,CFO,Salesforce; Teams,2,"GDPR, PCI DSS",92,"August 12, 2025",,—,,1611660.0,Won,500-1000,$100M,DACH,2025-08-12,hyperioncorp_462.io,"Salesforce, Teams",1611660.0,Unassigned,92.0,27,22,15,15,79,Enterprise_Risk_Management,High
Caprica Systems_722,capricasystems_722.net,capricasystems_722.net,Energy,Biotech,"500-1,000",$100M,DACH,"New York, USA",Compliance,Partner,IT Director,Azure AD; Pardot; ServiceNow; ,2,PCI DSS,73,"April 16, 2025",Test User,Global Holdings Ltd,Enterprise,1927812.0,Won,"500-1,000",$100M,DACH,2025-04-16,capricasystems_722.net,"Azure Ad, Pardot, Servicenow",1927812.0,Unassigned,73.0,34,19,11,15,79,Mid_Market_Compliance,High
Blue Sun Corp_995,bluesuncorp_995.net,bluesuncorp_995.com,Healthcare,Pharma,approx 800,USD 250M,APAC,"Dubai, AE",Compliance,Purchased,CFO,Snowflake | Google Workspace |  | Netsuite,0,HIPAA,85,07/06/25,—,,Tier 3,1864927.0,Open,"500-1,000",$250M,APAC,2025-07-06,bluesuncorp_995.net,"Snowflake, Google Workspace, Netsuite",1864927.0,—,85.0,37,19,15,8,79,Mid_Market_Compliance,High
Sirius Ventures_402,siriusventures_402.io,siriusventures_402.com,Energy,Semiconductors,200-500,$1B,DACH,"Dubai, AE",Compliance,Inbound,Chief Risk Officer,Teams | Snowflake | HubSpot,unknown,"PCI DSS, None",48,2025-02-14,—,—,,1333490.0,Won,200-500,$1000M,DACH,2025-02-14,siriusventures_402.io,"Teams, Snowflake, Hubspot",1333490.0,—,48.0,35,22,9,12,78,Enterprise_Risk_Management,High
Prestige Worldwide_453,https://www.prestigeworldwide_453.co,prestigeworldwide_453.co,Legal,Utilities,200-500,$1B,APAC,,Risk,Inbound,Director of Security,"Azure AD, ServiceNow",0,SOX,17,"February 11, 2025",Alex Lee,—,,,Open,200-500,$1000M,APAC,2025-02-11,prestigeworldwide_453.co,"Azure Ad, Servicenow",Missing,Alex Lee,17.0,35,22,6,15,78,Board_Governance,High
Oscorp_681,oscorp_681.net,oscorp_681.co,Healthcare,NGO,200-500,$100M,APAC,"Dublin, IE",Boards,Web,CFO,"Azure AD, Salesforce, Snowflake, ServiceNow",0,SOX,92,2025-03-20,Chen Wu,Oscorp_681 Holdings,C,1314614.0,Won,200-500,$100M,APAC,2025-03-20,oscorp_681.net,"Azure Ad, Salesforce, Snowflake, Servicenow",1314614.0,Chen Wu,92.0,32,17,14,15,78,Board_Governance,High
Hooli_993,hooli_993.com,hooli_993.com,Energy,Semiconductors,1000+,$100M,FR,"Toronto, CA",Risk,Web,CIO,Workday | Salesforce | Marketo | Snowflake,6,HIPAA,55,2025-01-22,,Private Equity HoldCo,Tier 3,1489671.0,Lost,1000+,$100M,France,2025-01-22,hooli_993.com,"Workday, Salesforce, Marketo, Snowflake",1489671.0,Unassigned,55.0,37,18,10,13,78,Enterprise_Risk_Management,High
Dunder Mifflin_320,dundermifflin_320.com,dundermifflin_320.com,Manufacturing,NGO,50-200,$1B,AMS,"San Francisco, USA",Risk,Referral,Chief Risk Officer,Pardot; ServiceNow; Azure AD,0,,61,"June 12, 2025",,Private Equity HoldCo,A,1920433.0,Lost,50-200,$1000M,Americas,2025-06-12,dundermifflin_320.com,"Pardot, Servicenow, Azure Ad",1920433.0,Unassigned,61.0,30,25,14,8,77,Enterprise_Risk_Management,High
Globex Inc_322,globexinc_322.com,globexinc_322.net,Technology,NGO,1000+,USD 250M,MDO,"Paris, FR",Risk,Partner,CFO,,2,HIPAA,100,2025-05-23,,,,1129555.0,Open,1000+,$250M,MEA,2025-05-23,globexinc_322.com,,1129555.0,Unassigned,100.0,37,22,13,5,77,Enterprise_Risk_Management,High
Sirius Ventures_347,siriusventures_347.io,siriusventures_347.com,Non-Profit,SaaS,"500-1,000",$100M,,"San Francisco, USA",Risk,Inbound,VP Finance,SFDC; Salesforce,five,"PCI DSS, HIPAA",85,"August 17, 2025",TBD,,Tier 1,1809331.0,Lost,"500-1,000",$100M,Unknown,2025-08-17,siriusventures_347.io,"Sfdc, Salesforce",1809331.0,Unassigned,85.0,27,18,17,15,77,Enterprise_Risk_Management,High
Clampett Oil_350,clampettoil_350.co,clampettoil_350.com,Financial Services,Semiconductors,500 to 1000,"20,000,000 USD",DACH,,Compliance,Partner,CFO,"Oracle, SAP, ServiceNow",,SOX,85,"March 24, 2025",—,,Tier 3,1357829.0,Lost,500-1000,$20M,DACH,2025-03-24,clampettoil_350.co,"Oracle, Sap, Servicenow",1357829.0,—,85.0,30,19,13,15,77,Mid_Market_Compliance,High
Shinra Electric_584,shinraelectric_584.net,shinraelectric_584.io,Education,Law Firm,1000+,"20,000,000 USD",UKI,"Dubai, AE",Risk,Partner,Legal Counsel,SFDC; ServiceNow; Google Workspace; Oracle,3-4,"PCI DSS, HIPAA",73,02/10/25,Priya Patel,Private Equity HoldCo,A,1713028.0,Open,1000+,$20M,UK & Ireland,2025-02-10,shinraelectric_584.net,"Sfdc, Servicenow, Google Workspace, Oracle",1713028.0,Priya Patel,73.0,26,25,11,15,77,Enterprise_Risk_Management,High
Kronos Group_601,http://kronosgroup_601.net,kronosgroup_601.net,Legal,Banking,1000+,USD 250M,DACH,"London, UK",Compliance,Web,Audit Manager,"Azure AD, Salesforce",4,,100,2025-05-17,Jane Doe,,Enterprise,1100414.0,Won,1000+,$250M,DACH,2025-05-17,kronosgroup_601.net,"Azure Ad, Salesforce",1100414.0,Jane Doe,100.0,40,15,14,8,77,Board_Governance,High
Pied Piper_619,piedpiper_619.io,piedpiper_619.io,Financial Services,K-12,200-500,USD 250M,DACH,,Audit,Event,CFO,"ServiceNow, Salesforce",>5,HIPAA,92,2025-08-05,,Pied Holdings,Enterprise,1411762.0,Won,200-500,$250M,DACH,2025-08-05,piedpiper_619.io,"Servicenow, Salesforce",1411762.0,Unassigned,92.0,35,12,17,13,77,Board_Governance,High
Aperture Labs_637,aperturelabs_637.net,aperturelabs_637.io,Manufacturing,Fin Serv,50-200,USD 250M,UKI,,Boards,Referral,Board Secretary,Teams; ServiceNow; Google Workspace,,"GDPR, HIPAA",61,03/28/25,,—,SMB,1242982.0,Open,50-200,$250M,UK & Ireland,2025-03-28,aperturelabs_637.net,"Teams, Servicenow, Google Workspace",1242982.0,Unassigned,61.0,30,20,14,13,77,Board_Governance,High
Virtucon_720,virtucon_720.com,virtucon_720.net,Financial Services,Utilities,five hundred,€20M,MDO,,Compliance,Purchased,Board Secretary,Databricks,2,PCI DSS,100,08/08/25,—,Private Equity HoldCo,,1827374.0,Open,"500-1,000",$20M,MEA,2025-08-08,virtucon_720.com,Databricks,1827374.0,—,100.0,30,22,15,10,77,Mid_Market_Compliance,High
Kronos Group_925,http://kronosgroup_925.com,kronosgroup_925.io,Legal,Pharma,approx 800,$1B,FR,"San Francisco, USA",Compliance,Partner,Director of Security,Eloqua | Salesforce,1,"HIPAA, SOX",32,03/29/25,—,,A,1883908.0,Won,"500-1,000",$1000M,France,2025-03-29,kronosgroup_925.com,"Eloqua, Salesforce",1883908.0,—,32.0,37,19,6,15,77,Board_Governance,High
Sirius Ventures_946,siriusventures_946.net,siriusventures_946.com,Financial Services,Biotech,1000+,$5M,AMS,"Munich, DE",Compliance,Partner,General Counsel,"Okta, Teams",2,"HIPAA, ISO27001",61,"June 11, 2025",Alex Lee,—,Tier 1,1211856.0,Open,1000+,$5M,Americas,2025-06-11,siriusventures_946.net,"Okta, Teams",1211856.0,Alex Lee,61.0,29,22,11,15,77,Mid_Market_Compliance,High
Paper Street Co_46,paperstreetco_46.com,paperstreetco_46.net,Healthcare,Higher Ed,approx 800,,,"Berlin, DE",Risk,Web,Chief Risk Officer,ServiceNow; Snowflake,3,"PCI DSS, GDPR, None",85,2025-04-29,TBD,,A,1422468.0,Lost,"500-1,000",Unknown,Unknown,2025-04-29,paperstreetco_46.com,"Servicenow, Snowflake",1422468.0,Unassigned,85.0,22,25,14,15,76,Enterprise_Risk_Management,High
Pied Piper_301,piedpiper_301.com,piedpiper_301.net,Technology,Law Firm,"500-1,000",$1B,APAC,NY,Risk,Partner,Board Secretary,Google Workspace,1,"PCI DSS, HIPAA",high,2025-08-21,Jane Doe,,Enterprise,1138884.0,Lost,"500-1,000",$1000M,APAC,2025-08-21,piedpiper_301.com,Google Workspace,1138884.0,Jane Doe,,34,25,7,10,76,Enterprise_Risk_Management,High
Zorg Industries_323,zorgindustries_323.net,zorgindustries_323.net,Government,Fin Serv,"500-1,000",$100M,Unknown,"San Francisco, USA",Risk,Event,Director of Security,"O365, HubSpot, Oracle",0,"None, GDPR, PCI DSS",48,2025-03-22,—,Zorg Holdings,Tier 3,1458482.0,Open,"500-1,000",$100M,Unknown,2025-03-22,zorgindustries_323.net,"O365, Hubspot, Oracle",1458482.0,—,48.0,31,22,11,12,76,Board_Governance,High
Zorg Industries_444,zorgindustries_444.io,zorgindustries_444.net,Energy,NGO,500 to 1000,USD 250M,,"Austin, USA",Audit,Event,CFO,"ServiceNow, Oracle",3,,85,2025-08-23,Priya Patel,Zorg Holdings,C,1910077.0,Lost,500-1000,$250M,Unknown,2025-08-23,zorgindustries_444.io,"Servicenow, Oracle",1910077.0,Priya Patel,85.0,37,12,19,8,76,Enterprise_Risk_Management,High
Shinra Electric_613,https://www.shinraelectric_613.com,shinraelectric_613.net,Financial Services,Higher Ed,five hundred,USD 250M,DACH,"Munich, DE",Audit,Inbound,Legal Counsel,"ServiceNow, Okta",1,SOX,55,"February 15, 2025",,,A,1894601.0,Open,"500-1,000",$250M,DACH,2025-02-15,shinraelectric_613.com,"Servicenow, Okta",1894601.0,Unassigned,55.0,37,15,9,15,76,Enterprise_Risk_Management,High
Goodman Group_697,goodmangroup_697.net,goodmangroup_697.com,Legal,Insurance,1000+,$5M,DACH,,Risk,Web,Board Secretary,"Salesforce, Netsuite",3-4,"PCI DSS, GDPR",17,"December 30, 2024",Alex Lee,,Tier 2,1145949.0,Lost,1000+,$5M,DACH,2024-12-30,goodmangroup_697.net,"Salesforce, Netsuite",1145949.0,Alex Lee,17.0,29,25,7,15,76,Enterprise_Risk_Management,High
Luthor Enterprises_742,luthorenterprises_742.net,luthorenterprises_742.io,Manufacturing,Semiconductors,approx 800,$20M,AMS,"Sydney, AU",Boards,Purchased,Legal Counsel,"O365, Okta, SFDC, ",4,"SOX, ISO27001, HIPAA",73,03/31/25,—,Global Holdings Ltd,Enterprise,1573602.0,Lost,"500-1,000",$20M,Americas,2025-03-31,luthorenterprises_742.net,"O365, Okta, Sfdc",1573602.0,—,73.0,30,20,11,15,76,Mid_Market_Compliance,High
Gekko & Co_754,gekkoco_754.io,gekkoco_754.com,Energy,Insurance,five hundred,$1B,EMEA,"London, UK",Compliance,Web,Legal Counsel,Netsuite,8,,100,"January 31, 2025",,Global Holdings Ltd,Tier 2,1958436.0,Won,"500-1,000",$1000M,EMEA,2025-01-31,gekkoco_754.io,Netsuite,1958436.0,Unassigned,100.0,37,22,14,3,76,Mid_Market_Compliance,High
Oceanic Airlines_27,oceanicairlines_27.co,oceanicairlines_27.com,Manufacturing,Banking,1000+,$20M,UKI,"London, UK",Compliance,Inbound,Chief Risk Officer,Workday; Databricks,five,"ISO27001, SOX",high,"July 01, 2025",John Smith,,B,1681776.0,Won,1000+,$20M,UK & Ireland,2025-07-01,oceanicairlines_27.co,"Workday, Databricks",1681776.0,John Smith,,33,22,5,15,75,Enterprise_Risk_Management,High
Oscorp_116,oscorp_116.net,oscorp_116.co,Healthcare,K-12,five hundred,5000000,,"London, UK",Risk,Purchased,Chief Risk Officer,"Eloqua, Snowflake, Workday",unknown,ISO27001,55,2025-04-09,Alex Lee,Global Holdings Ltd,Tier 1,1821507.0,Lost,"500-1,000",$5M,Unknown,2025-04-09,oscorp_116.net,"Eloqua, Snowflake, Workday",1821507.0,Alex Lee,55.0,26,25,9,15,75,Enterprise_Risk_Management,High
Gotham Transport_379,gothamtransport_379.com,gothamtransport_379.net,Legal,Fin Serv,"500-1,000",$100M,Unknown,Unknown,Risk,Partner,Audit Manager,Netsuite | Okta | Marketo,0,"ISO27001, GDPR, SOX",17,06/26/25,TBD,Private Equity HoldCo,SMB,1867728.0,Lost,"500-1,000",$100M,Unknown,2025-06-26,gothamtransport_379.com,"Netsuite, Okta, Marketo",1867728.0,Unassigned,17.0,34,18,8,15,75,Enterprise_Risk_Management,High
Sirius Ventures_397,siriusventures_397.net,siriusventures_397.io,Healthcare,Industrial,500 to 1000,$1B,Unknown,,Risk,Inbound,CFO,"Salesforce, Databricks",,"HIPAA, None",,"February 25, 2025",Chen Wu,,B,1112442.0,Lost,500-1000,$1000M,Unknown,2025-02-25,siriusventures_397.net,"Salesforce, Databricks",1112442.0,Chen Wu,,37,22,3,13,75,Enterprise_Risk_Management,High
